mz/RT,target,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,LL 1,LL 2,LL 3,LL 4,LL 5,LL 6,LL 7,LL 8,LL 9,LL 10,LL 11,LL 12,LL 13,LL 14,LL 15,LL 16,LL 17,LL 18,LL 19,BL 1,BL 2,BL 3,BL 4,BL 5,BL 6,BL 7,BL 8,BL 9,BL 10,BL 11,BL 12,BL 13,BL 14,BL 15,WWTP 1,WWTP 2,WWTP 3,WWTP 4,WWTP 5,WWTP 6,WWTP 7,WWTP 8,WWTP 9,WWTP 10,WWTP 11,WWTP 12,WWTP 13,WWTP 14,WWTP 15,WWTP 16,WWTP 17,WWTP 18,WWTP 19,PP 1,PP 2,PP 3,PP 4,PP 5,PP 6,PP 7,PP 8,PP 9,PP 10,PP 11,PP 12,PP 13,PP 14,PP 15,PP 16,PG 1,PG 2,PG 3,PG 4,PG 5,PG 6,PG 7,PG 8
398.935709/9.06,115 (M-H),0,0,0,0,0,0,0,0,0,0,0,27086.64826,3658541.5,42182,0,0,0,3706.996677,53694.88504,86545.61756,14741.38572,0,131765.3495,0,0,0,13863.64992,0,0,123108.613,36714.92624,0,108378.8274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565.331876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2351.421706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498.92902/11.61,117 (M-H),142003.6643,1289830.693,0,736532.5733,0,89338,2992366.075,2585702,1667556.435,2446709.406,0,198694.7553,585004,732651,12691.16433,0,0,0,7905.194363,0,2515.784647,7336.916333,12994.32455,11726.42915,11136.4159,7261.575281,9819.757706,0,13167.66157,12721.17908,5945.028073,22617.11058,23991.72392,15701.5783,113282.8182,42264.69699,11440.22028,34349.24241,37503.01719,45884.21952,148724.4745,8462.714921,10310.5388,23464.56908,25768.67393,17009.84769,92680.70519,72618.68418,9212.082341,2620,0,0,0,2628.017477,0,2323.936472,0,0,0,0,0,0,0,6179.434483,0,0,0,0,1338.535509,0,0,0,0,0,0,0,0,0,0,0,0,3499.957945,0,0,0,0,0,953.196537,10527.7038,0,0,2626.531731
426.966905/10.31,132 (M-H),17755.62765,51217.79344,260661.8931,0,0,12762.5,121660.3255,1674841,830537.056,2706720.11,0,0,62932,456017,0,6555,0,0,7376.637148,0,0,0,20768.94651,0,44475.92062,3831.744359,6204.4355,6804.538365,0,30514.89512,17716.36174,22340.28776,10494.74757,0,0,0,0,0,0,0,0,0,0,3670.366655,1768.895751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529.978953,0,0,0,0,0,0,0,0,0,4583.047767
398.935583/8.9,115 (M-H),16074.76382,166555.9258,137039.0595,1242194.463,6998.356701,16121,0,1282982.5,1336432.045,2358886.393,68416,0,2651870.5,1146652,0,36559,0,0,8206.324569,12723.87649,4300.38871,2012.96934,35149.42585,6131.399319,14319.76884,0,0,8671.000614,18857.13269,29092.15663,7884.656553,23138.72713,18333.17532,5787.30274,0,0,0,0,0,0,2827.987319,0,0,0,0,0,0,3275.249454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398.92967/9.32,-,0,0,0,0,0,0,0,0,0,0,2615078.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412.965446/10.35,104 (M-H),11619.60954,1495338.11,252142.6146,472472.0542,126098.3727,205908,1672462.63,1037487.5,1085951.123,1325643.105,0,67654.11916,1676681.5,971415,2415073.24,17333.5,4974,9114.344219,31597.61359,39584.7393,11286.68014,35679.52463,86084.18605,37470.11744,102002.0516,53306.94941,20913.42993,136543.243,42892.87378,107801.8438,50839.93303,345202.6298,92863.50483,51694.78503,28562.84678,11768.10913,0,24904.29888,9763.854647,13384.12252,20781.95135,5780.232415,3965.78809,12629.2249,4776.112768,603.2971125,0,6812.610566,1720.388885,0,0,0,0,0,0,3232.300529,0,0,0,2665.164253,0,0,0,9060.255747,0,1750.795455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348.939226/8.16,114 (M-H),9992.762922,133505.5308,186020.5573,462826.3945,4074.182686,11795,551950.6877,1172661,1056959.42,2337894.227,0,30520.73045,1360052,468082,847381.1188,0,0,0,0,4788.381562,0,2287.646858,0,9795.908427,5943.519705,0,0,3289.150258,0,7969.232526,0,8066.754188,9806.192923,4677.313433,0,0,0,0,0,0,2951.216181,0,0,0,0,0,0,3059.752407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025.294968/11.59,-,0,0,0,0,0,2248871.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341.268754/16.74,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394.588515,0,0,0,0,0,0,0,0,0,0,0,0,100904.9527,0,0,0,0,0,0,0,0,0,0,0,2215512.725,0,521.8235966,0,596.8171637,0,716.5835677,0,0,28244.49133,0,0,0,0,0,0,0,247188.9561,0,0,0,0,0,1743.864354,0
1097.316357/12.13,-,0,0,0,0,0,1955238.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953.27361/11.01,-,0,0,0,0,0,1921941.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.10736/7.81,-,139631.1269,3729.540828,3618.184779,9436.763608,3537.407947,0,62081.42696,887527,3654.801111,1911616.789,7394,2377.05689,2254,1507406,6206.143144,28523,8010.5,17101.1919,607394.3664,21676.5161,10169.46238,10226.4553,80537.22938,15270.15276,243322.5901,53417.17883,20105.43785,44802.70776,56701.56309,32047.65872,0,28446.4043,47658.75026,24305.7407,552704.4855,210302.4038,5062.080011,8446.242234,631587.0704,4822.762116,17186.76498,37655.51517,68568.33577,42783.05918,15576.08363,109058.296,126062.6072,6747.273695,5320.265117,2253,22103.99189,4734.463779,6715.043245,6130.591877,22816.74166,8390.148421,118937.9565,8896.762188,13603,8355.270797,22359.24064,538015.2069,8394.131508,19937.42069,0,6049.403409,6105.776983,28665.32434,2233.950627,1472.687527,1526.21679,0,2478.239696,2172.045117,2782.439412,3276.526458,2864.259671,7415.428491,41018.45241,3461.028895,2658.888547,1400.169619,2464.036843,15098.87188,2734.751506,3569.149057,3651.503199,50835.71741,2901.527857,2169.088109,3652.525102,3416.334123
